77.75.76.170 - - [10/Dec/2017:22:03:23 +0100] "GET /tag/bebe/ HTTP/1.1" 200 23194 "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
40.77.167.45 - - [10/Dec/2017:22:08:43 +0100] "GET /blog-espacio-perinatal/ HTTP/1.1" 200 16353 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.64.213 - - [10/Dec/2017:22:11:24 +0100] "GET /la-mente-de-los-bebes-que-piensan/ HTTP/1.1" 200 24143 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2.152.89.195 - - [10/Dec/2017:22:11:36 +0100] "GET /wp-content/cache/et/1655/et-core-unified-15111821750299.min.css HTTP/1.1" 200 3819 "http://www.espacioperinatal.com/rene-spitz-las-enfermedades-psicogenicas/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
2.152.89.195 - - [10/Dec/2017:22:11:34 +0100] "GET /rene-spitz-las-enfermedades-psicogenicas/ HTTP/1.1" 200 26743 "https://www.google.es/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
66.249.64.211 - - [10/Dec/2017:22:11:36 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 61 "http://www.espacioperinatal.com/la-mente-de-los-bebes-que-piensan/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2.152.89.195 - - [10/Dec/2017:22:11:37 +0100] "GET /wp-content/uploads/2013/11/rene-spitz2.jpg HTTP/1.1" 200 16187 "http://www.espacioperinatal.com/rene-spitz-las-enfermedades-psicogenicas/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
2.152.89.195 - - [10/Dec/2017:22:11:37 +0100] "GET /wp-content/uploads/2013/11/deprivaci%C3%B3n-emocional-300x225.gif HTTP/1.1" 200 52023 "http://www.espacioperinatal.com/rene-spitz-las-enfermedades-psicogenicas/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
2.152.89.195 - - [10/Dec/2017:22:11:37 +0100] "GET /wp-content/uploads/2013/11/VIOLENCIA-OBST%C3%89TRICA.jpg HTTP/1.1" 200 8782 "http://www.espacioperinatal.com/rene-spitz-las-enfermedades-psicogenicas/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
2.152.89.195 - - [10/Dec/2017:22:11:37 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 61 "http://www.espacioperinatal.com/rene-spitz-las-enfermedades-psicogenicas/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
2.152.89.195 - - [10/Dec/2017:22:11:38 +0100] "GET /wp-content/themes/Extra/core/admin/fonts/modules.ttf HTTP/1.1" 200 48573 "http://www.espacioperinatal.com/wp-content/themes/Extra/style.css?ver=4.8.4" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
66.249.64.211 - - [10/Dec/2017:22:11:38 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 70 "http://www.espacioperinatal.com/la-mente-de-los-bebes-que-piensan/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
