77.75.76.170|GET /tag/bebe/ HTTP/1.1|Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)|SeznamBot|GET|/tag/bebe/|200|2017-12-10T21:03:23+00:00|"-"
40.77.167.45|GET /blog-espacio-perinatal/ HTTP/1.1|Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)|bingbot|GET|/blog-espacio-perinatal/|200|2017-12-10T21:08:43+00:00|"-"
66.249.64.213|GET /la-mente-de-los-bebes-que-piensan/ HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|GET|/la-mente-de-los-bebes-que-piensan/|200|2017-12-10T21:11:24+00:00|"-"
2.152.89.195|GET /wp-content/cache/et/1655/et-core-unified-15111821750299.min.css HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|GET|/wp-content/cache/et/1655/et-core-unified-15111821750299.min.css|200|2017-12-10T21:11:36+00:00|"http://www.espacioperinatal.com/rene-spitz-las-enfermedades-psicogenicas/"
2.152.89.195|GET /rene-spitz-las-enfermedades-psicogenicas/ HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|GET|/rene-spitz-las-enfermedades-psicogenicas/|200|2017-12-10T21:11:34+00:00|"https://www.google.es/"
66.249.64.211|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:11:36+00:00|"http://www.espacioperinatal.com/la-mente-de-los-bebes-que-piensan/"
2.152.89.195|GET /wp-content/uploads/2013/11/rene-spitz2.jpg HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|GET|/wp-content/uploads/2013/11/rene-spitz2.jpg|200|2017-12-10T21:11:37+00:00|"http://www.espacioperinatal.com/rene-spitz-las-enfermedades-psicogenicas/"
2.152.89.195|GET /wp-content/uploads/2013/11/deprivaci%C3%B3n-emocional-300x225.gif HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|GET|/wp-content/uploads/2013/11/deprivaci%C3%B3n-emocional-300x225.gif|200|2017-12-10T21:11:37+00:00|"http://www.espacioperinatal.com/rene-spitz-las-enfermedades-psicogenicas/"
2.152.89.195|GET /wp-content/uploads/2013/11/VIOLENCIA-OBST%C3%89TRICA.jpg HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|GET|/wp-content/uploads/2013/11/VIOLENCIA-OBST%C3%89TRICA.jpg|200|2017-12-10T21:11:37+00:00|"http://www.espacioperinatal.com/rene-spitz-las-enfermedades-psicogenicas/"
2.152.89.195|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:11:37+00:00|"http://www.espacioperinatal.com/rene-spitz-las-enfermedades-psicogenicas/"
2.152.89.195|GET /wp-content/themes/Extra/core/admin/fonts/modules.ttf HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|GET|/wp-content/themes/Extra/core/admin/fonts/modules.ttf|200|2017-12-10T21:11:38+00:00|"http://www.espacioperinatal.com/wp-content/themes/Extra/style.css?ver=4.8.4"
